StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);TargetRate;CallRate(P);CallRate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);TotalCallCreated;CurrentCall;SuccessfulCall(P);SuccessfulCall(C);FailedCall(P);FailedCall(C);FailedCannotSendMessage(P);FailedCannotSendMessage(C);FailedMaxUDPRetrans(P);FailedMaxUDPRetrans(C);FailedTcpConnect(P);FailedTcpConnect(C);FailedTcpClosed(P);FailedTcpClosed(C);FailedUnexpectedMessage(P);FailedUnexpectedMessage(C);FailedCallRejected(P);FailedCallRejected(C);FailedCmdNotSent(P);FailedCmdNotSent(C);FailedRegexpDoesntMatch(P);FailedRegexpDoesntMatch(C);FailedRegexpShouldntMatch(P);FailedRegexpShouldntMatch(C);FailedRegexpHdrNotFound(P);FailedRegexpHdrNotFound(C);FailedOutboundCongestion(P);FailedOutboundCongestion(C);FailedTimeoutOnRecv(P);FailedTimeoutOnRecv(C);FailedTimeoutOnSend(P);FailedTimeoutOnSend(C);OutOfCallMsgs(P);OutOfCallMsgs(C);DeadCallMsgs(P);DeadCallMsgs(C);Retransmissions(P);Retransmissions(C);AutoAnswered(P);AutoAnswered(C);Warnings(P);Warnings(C);FatalErrors(P);FatalErrors(C);WatchdogMajor(P);WatchdogMajor(C);WatchdogMinor(P);WatchdogMinor(C);ResponseTime1(P);ResponseTime1(C);ResponseTime1StDev(P);ResponseTime1StDev(C);CallLength(P);CallLength(C);CallLengthStDev(P);CallLengthStDev(C);ResponseTimeRepartition1;ResponseTimeRepartition1_<10;ResponseTimeRepartition1_<50;ResponseTimeRepartition1_<100;ResponseTimeRepartition1_<150;ResponseTimeRepartition1_<200;ResponseTimeRepartition1_<500;ResponseTimeRepartition1_<1000;ResponseTimeRepartition1_>=1000;CallLengthRepartition;CallLengthRepartition_<10;CallLengthRepartition_<50;CallLengthRepartition_<100;CallLengthRepartition_<150;CallLengthRepartition_<200;CallLengthRepartition_<500;CallLengthRepartition_<1000;CallLengthRepartition_>=1000;
2019-06-15	22:16:34.093199	1560636994.093199;2019-06-15	22:16:34.093199	1560636994.093199;2019-06-15	22:16:34.094438	1560636994.094438;00:00:00;00:00:00;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2019-06-15	22:16:34.093199	1560636994.093199;2019-06-15	22:16:34.097662	1560636994.097662;2019-06-15	22:16:39.095760	1560636999.095760;00:00:04;00:00:05;100;60.4242;60.3759;0;0;302;302;302;100;202;202;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;200;200;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:002000;00:00:00:002000;00:00:00:007000;00:00:00:007000;00:00:00:004000;00:00:00:004000;;193;9;0;0;0;0;0;0;;50;152;0;0;0;0;0;0;
2019-06-15	22:16:34.093199	1560636994.093199;2019-06-15	22:16:39.097300	1560636999.097300;2019-06-15	22:16:44.062054	1560637004.062054;00:00:04;00:00:09;300;0;30.2969;0;0;0;302;302;100;0;202;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;145;345;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:002000;00:00:00:000000;00:00:00:007000;00:00:00:000000;00:00:00:004000;;193;9;0;0;0;0;0;0;;50;152;0;0;0;0;0;0;
2019-06-15	22:16:34.093199	1560636994.093199;2019-06-15	22:16:44.062719	1560637004.062719;2019-06-15	22:16:49.072389	1560637009.072389;00:00:05;00:00:14;500;0;20.1616;0;0;0;302;302;100;0;202;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;155;500;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:002000;00:00:00:000000;00:00:00:007000;00:00:00:000000;00:00:00:004000;;193;9;0;0;0;0;0;0;;50;152;0;0;0;0;0;0;
2019-06-15	22:16:34.093199	1560636994.093199;2019-06-15	22:16:49.073062	1560637009.073062;2019-06-15	22:16:54.082904	1560637014.082904;00:00:05;00:00:19;700;0;15.1083;0;0;0;302;302;100;0;202;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;600;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:002000;00:00:00:000000;00:00:00:007000;00:00:00:000000;00:00:00:004000;;193;9;0;0;0;0;0;0;;50;152;0;0;0;0;0;0;
2019-06-15	22:16:34.093199	1560636994.093199;2019-06-15	22:16:54.083374	1560637014.083374;2019-06-15	22:16:59.092490	1560637019.092490;00:00:05;00:00:24;900;0;12.0805;0;0;0;302;302;100;0;202;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;700;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:002000;00:00:00:000000;00:00:00:007000;00:00:00:000000;00:00:00:004000;;193;9;0;0;0;0;0;0;;50;152;0;0;0;0;0;0;
2019-06-15	22:16:34.093199	1560636994.093199;2019-06-15	22:16:59.093076	1560637019.093076;2019-06-15	22:17:04.102225	1560637024.102225;00:00:05;00:00:30;1100;178.878;39.9214;0;0;896;1198;1198;97;899;1101;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;800;0;0;0;0;0;0;0;0;0;0;00:00:02:701000;00:00:02:224000;00:00:07:239000;00:00:06:648000;00:00:03:030000;00:00:02:475000;00:00:07:372000;00:00:06:762000;;205;42;28;40;131;598;0;100;;53;173;16;12;12;557;178;100;
2019-06-15	22:16:34.093199	1560636994.093199;2019-06-15	22:17:04.102904	1560637024.102904;2019-06-15	22:17:09.112014	1560637029.112014;00:00:05;00:00:35;1300;266.52;72.3342;0;0;1335;2533;2533;99;1333;2434;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;800;0;0;0;0;0;0;0;0;0;0;00:00:00:180000;00:00:01:119000;00:00:00:026000;00:00:04:619000;00:00:00:370000;00:00:01:322000;00:00:00:044000;00:00:04:666000;;205;42;28;166;949;1000;0;100;;53;173;16;12;12;1890;178;100;
2019-06-15	22:16:34.093199	1560636994.093199;2019-06-15	22:17:09.112523	1560637029.112523;2019-06-15	22:17:14.084047	1560637034.084047;00:00:04;00:00:39;1500;320.258;103.151;0;0;1592;4125;4125;100;1591;4025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;800;0;0;0;0;0;0;0;0;0;0;00:00:00:150000;00:00:00:742000;00:00:00:024000;00:00:03:639000;00:00:00:301000;00:00:00:919000;00:00:00:030000;00:00:03:662000;;205;42;47;831;1785;1070;0;100;;53;173;16;12;12;3481;178;100;
2019-06-15	22:16:34.093199	1560636994.093199;2019-06-15	22:17:14.084708	1560637034.084708;2019-06-15	22:17:19.089008	1560637039.089008;00:00:05;00:00:44;1700;460.632;142.905;0;0;2305;6430;6430;98;2307;6332;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;800;0;0;0;0;0;0;0;0;0;0;00:00:00:102000;00:00:00:510000;00:00:00:022000;00:00:02:924000;00:00:00:210000;00:00:00:661000;00:00:00:041000;00:00:02:940000;;205;42;1170;1945;1856;1070;0;100;;53;173;16;12;1114;4686;178;100;
2019-06-15	22:16:34.093199	1560636994.093199;2019-06-15	22:17:19.089818	1560637039.089818;2019-06-15	22:17:24.098490	1560637044.098490;00:00:05;00:00:50;1900;609.824;189.661;0;0;3054;9484;9484;89;3063;9395;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;800;0;0;0;0;0;0;0;0;0;0;00:00:00:076000;00:00:00:371000;00:00:00:017000;00:00:02:417000;00:00:00:156000;00:00:00:496000;00:00:00:032000;00:00:02:425000;;205;85;3636;2460;1856;1070;0;100;;53;173;33;1378;2247;5233;178;100;
2019-06-15	22:16:34.093199	1560636994.093199;2019-06-15	22:17:24.099180	1560637044.099180;2019-06-15	22:17:29.108789	1560637049.108789;00:00:05;00:00:55;2100;851.068;249.877;0;0;4263;13747;13747;86;4266;13661;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;800;0;0;0;0;0;0;0;0;0;0;00:00:00:051000;00:00:00:271000;00:00:00:016000;00:00:02:010000;00:00:00:107000;00:00:00:374000;00:00:00:021000;00:00:02:019000;;205;1612;6312;2510;1884;1070;0;100;;53;173;1539;3925;2419;5274;178;100;
2019-06-15	22:16:34.093199	1560636994.093199;2019-06-15	22:17:29.109430	1560637049.109430;2019-06-15	22:17:34.118453	1560637054.118453;00:00:05;00:01:00;2300;789.579;294.91;0;0;3955;17702;17702;97;3944;17605;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;800;0;0;0;0;0;0;0;0;0;0;00:00:00:057000;00:00:00:222000;00:00:00:016000;00:00:01:770000;00:00:00:116000;00:00:00:317000;00:00:00:021000;00:00:01:782000;;205;2335;9443;2647;1884;1070;0;100;;53;173;2199;6803;2818;5281;178;100;
2019-06-15	22:16:34.093199	1560636994.093199;2019-06-15	22:17:34.120036	1560637054.120036;2019-06-15	22:17:39.128598	1560637059.128598;00:00:05;00:01:05;2500;794.529;333.374;0;0;3979;21681;21681;97;3979;21584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;800;0;0;0;0;0;0;0;0;0;0;00:00:00:056000;00:00:00:192000;00:00:00:013000;00:00:01:603000;00:00:00:116000;00:00:00:280000;00:00:00:022000;00:00:01:611000;;205;2995;12681;2683;1884;1070;0;100;;53;173;2604;9855;3340;5281;178;100;
2019-06-15	22:16:34.093199	1560636994.093199;2019-06-15	22:17:39.129400	1560637059.129400;2019-06-15	22:17:44.105055	1560637064.105055;00:00:04;00:01:10;2700;815.879;367.657;0;0;4059;25740;25740;100;4056;25640;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;800;0;0;0;0;0;0;0;0;0;0;00:00:00:054000;00:00:00:170000;00:00:00:015000;00:00:01:471000;00:00:00:113000;00:00:00:253000;00:00:00:021000;00:00:01:479000;;205;3884;15815;2746;1884;1070;0;100;;53;173;3195;12941;3719;5281;178;100;
2019-06-15	22:16:34.093199	1560636994.093199;2019-06-15	22:17:44.106776	1560637064.106776;2019-06-15	22:17:49.114241	1560637069.114241;00:00:05;00:01:15;2900;828.041;398.368;0;0;4146;29886;29886;95;4151;29791;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;800;0;0;0;0;0;0;0;0;0;0;00:00:00:052000;00:00:00:154000;00:00:00:019000;00:00:01:365000;00:00:00:109000;00:00:00:233000;00:00:00:031000;00:00:01:373000;;205;5396;18312;2855;1909;1070;0;100;;53;173;4525;15369;3979;5414;178;100;
2019-06-15	22:16:34.093199	1560636994.093199;2019-06-15	22:17:49.115158	1560637069.115158;2019-06-15	22:17:54.124979	1560637074.124979;00:00:05;00:01:20;3100;829.307;425.335;0;0;4154;34040;34040;89;4160;33951;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;800;0;0;0;0;0;0;0;0;0;0;00:00:00:053000;00:00:00:141000;00:00:00:013000;00:00:01:279000;00:00:00:109000;00:00:00:218000;00:00:00:019000;00:00:01:287000;;205;6589;21256;2874;1909;1070;0;100;;53;173;5534;18311;4188;5414;178;100;
