StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);TargetRate;CallRate(P);CallRate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);TotalCallCreated;CurrentCall;SuccessfulCall(P);SuccessfulCall(C);FailedCall(P);FailedCall(C);FailedCannotSendMessage(P);FailedCannotSendMessage(C);FailedMaxUDPRetrans(P);FailedMaxUDPRetrans(C);FailedTcpConnect(P);FailedTcpConnect(C);FailedTcpClosed(P);FailedTcpClosed(C);FailedUnexpectedMessage(P);FailedUnexpectedMessage(C);FailedCallRejected(P);FailedCallRejected(C);FailedCmdNotSent(P);FailedCmdNotSent(C);FailedRegexpDoesntMatch(P);FailedRegexpDoesntMatch(C);FailedRegexpShouldntMatch(P);FailedRegexpShouldntMatch(C);FailedRegexpHdrNotFound(P);FailedRegexpHdrNotFound(C);FailedOutboundCongestion(P);FailedOutboundCongestion(C);FailedTimeoutOnRecv(P);FailedTimeoutOnRecv(C);FailedTimeoutOnSend(P);FailedTimeoutOnSend(C);OutOfCallMsgs(P);OutOfCallMsgs(C);DeadCallMsgs(P);DeadCallMsgs(C);Retransmissions(P);Retransmissions(C);AutoAnswered(P);AutoAnswered(C);Warnings(P);Warnings(C);FatalErrors(P);FatalErrors(C);WatchdogMajor(P);WatchdogMajor(C);WatchdogMinor(P);WatchdogMinor(C);ResponseTime1(P);ResponseTime1(C);ResponseTime1StDev(P);ResponseTime1StDev(C);CallLength(P);CallLength(C);CallLengthStDev(P);CallLengthStDev(C);ResponseTimeRepartition1;ResponseTimeRepartition1_<10;ResponseTimeRepartition1_<50;ResponseTimeRepartition1_<100;ResponseTimeRepartition1_<150;ResponseTimeRepartition1_<200;ResponseTimeRepartition1_<500;ResponseTimeRepartition1_<1000;ResponseTimeRepartition1_>=1000;CallLengthRepartition;CallLengthRepartition_<10;CallLengthRepartition_<50;CallLengthRepartition_<100;CallLengthRepartition_<150;CallLengthRepartition_<200;CallLengthRepartition_<500;CallLengthRepartition_<1000;CallLengthRepartition_>=1000;
2019-06-15	16:37:27.457239	1560616647.457239;2019-06-15	16:37:27.457239	1560616647.457239;2019-06-15	16:37:27.462127	1560616647.462127;00:00:00;00:00:00;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;
2019-06-15	16:37:27.457239	1560616647.457239;2019-06-15	16:37:27.467224	1560616647.467224;2019-06-15	16:37:32.470162	1560616652.470162;00:00:05;00:00:05;600;99.96;99.7606;0;0;500;500;500;0;500;500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:001000;00:00:00:001000;00:00:00:008000;00:00:00:008000;00:00:00:001000;00:00:00:001000;00:00:00:008000;00:00:00:008000;;462;36;0;2;0;0;0;0;;462;36;0;2;0;0;0;0;
2019-06-15	16:37:27.457239	1560616647.457239;2019-06-15	16:37:32.470768	1560616652.470768;2019-06-15	16:37:37.489473	1560616657.489473;00:00:05;00:00:10;1100;598.645;349.282;0;0;3004;3504;3504;0;3004;3504;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:005000;00:00:00:004000;00:00:00:016000;00:00:00:015000;00:00:00:005000;00:00:00:004000;00:00:00:016000;00:00:00:015000;;2852;565;43;35;9;0;0;0;;2852;565;43;35;9;0;0;0;
2019-06-15	16:37:27.457239	1560616647.457239;2019-06-15	16:37:37.490963	1560616657.490963;2019-06-15	16:37:42.490561	1560616662.490561;00:00:04;00:00:15;1600;1098.02;598.217;0;0;5489;8993;8993;0;5489;8993;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:003000;00:00:00:004000;00:00:00:009000;00:00:00:012000;00:00:00:003000;00:00:00:004000;00:00:00:009000;00:00:00:012000;;7236;1602;111;35;9;0;0;0;;7236;1602;111;35;9;0;0;0;
2019-06-15	16:37:27.457239	1560616647.457239;2019-06-15	16:37:42.491385	1560616662.491385;2019-06-15	16:37:47.466002	1560616667.466002;00:00:04;00:00:20;2100;1527.74;829.268;0;0;7599;16592;16592;21;7578;16571;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:012000;00:00:00:008000;00:00:00:023000;00:00:00:018000;00:00:00:012000;00:00:00:008000;00:00:00:023000;00:00:00:018000;;11841;4069;470;182;9;0;0;0;;11841;4069;470;182;9;0;0;0;
2019-06-15	16:37:27.457239	1560616647.457239;2019-06-15	16:37:47.466772	1560616667.466772;2019-06-15	16:37:52.476091	1560616672.476091;00:00:05;00:00:25;2600;2020.96;1067.83;0;0;10123;26715;26715;0;10144;26715;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:008000;00:00:00:008000;00:00:00:014000;00:00:00:017000;00:00:00:008000;00:00:00:008000;00:00:00:014000;00:00:00:017000;;18275;7375;872;184;9;0;0;0;;18275;7375;872;184;9;0;0;0;
2019-06-15	16:37:27.457239	1560616647.457239;2019-06-15	16:37:52.476745	1560616672.476745;2019-06-15	16:37:57.485859	1560616677.485859;00:00:05;00:00:30;3100;2400.28;1290.06;0;0;12023;38738;38738;0;12023;38738;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:011000;00:00:00:009000;00:00:00:017000;00:00:00:017000;00:00:00:011000;00:00:00:009000;00:00:00:017000;00:00:00:017000;;24938;12023;1532;236;9;0;0;0;;24938;12023;1532;236;9;0;0;0;
2019-06-15	16:37:27.457239	1560616647.457239;2019-06-15	16:37:57.487731	1560616677.487731;2019-06-15	16:38:02.504923	1560616682.504923;00:00:05;00:00:35;3600;3000.4;1534.82;0;0;15053;53791;53791;0;15053;53791;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:004000;00:00:00:007000;00:00:00:009000;00:00:00:015000;00:00:00:004000;00:00:00:007000;00:00:00:009000;00:00:00:015000;;35263;16471;1812;236;9;0;0;0;;35263;16471;1812;236;9;0;0;0;
2019-06-15	16:37:27.457239	1560616647.457239;2019-06-15	16:38:02.505627	1560616682.505627;2019-06-15	16:38:07.516013	1560616687.516013;00:00:05;00:00:40;4100;3433.73;1772.28;0;0;17203;70994;70994;0;17203;70994;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:004000;00:00:00:007000;00:00:00:011000;00:00:00:014000;00:00:00:004000;00:00:00:007000;00:00:00:011000;00:00:00:014000;;47702;20825;2199;259;9;0;0;0;;47702;20825;2199;259;9;0;0;0;
2019-06-15	16:37:27.457239	1560616647.457239;2019-06-15	16:38:07.516560	1560616687.516560;2019-06-15	16:38:12.529514	1560616692.529514;00:00:05;00:00:45;4600;3734.04;1990.35;0;0;18715;89709;89709;2;18713;89707;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;00:00:00:012000;00:00:00:008000;00:00:00:013000;00:00:00:014000;00:00:00:012000;00:00:00:008000;00:00:00:013000;00:00:00:014000;;53819;33051;2559;269;9;0;0;0;;53819;33051;2559;269;9;0;0;0;
